36339811;365;1375;173;38610048,41421315,38277127,41421321,29520783,23642772,41421295,15836060,38610978,40590884,39157797,40833196,23642797,32479544,24162107,25472835,15640648,38769784,33923297,38315323,25811563,40966895,36389368,41421305
25428068;730;2802;117;23340448,22166401,22953763,18190693,57797863,23800489,26016715,24030829,14429709,20599984,20161236,15910005,32275945,26016677,26016641
19398756;1095;2693;80;10378368,17485326,6217423,12583281,8710070,7632504,14425273
35618917;730;64;9;17311744,39069961,21893898,36582165,39562908,23184160,39158052,23465256,36581681,24707128,41648189,40015167,10332354,45344838,32191314,44666074,34879711,39924962,18948963,39814504,8707189,32252543
41287784;365;37631;419;22879585,42203842,45627683,34769540,30011782,43623121,28875177,47104046,19327951,29379281,36869955,27507188,45673566,803030,48016984,35912473,21313118
78217334;120;1117;67;59465473,76792198,44126350,73175312,75104112,23465256,56395306,12624555,69034028,32893614,9772729,13925050,64979643,4227650,80033736,47446986,29957707,70511948,14991437,76177873,50000594,76267228,49067490,53940707,75304814,61052144,4451441
51478649;365;662;57;53359168,54872519,54251471,22514096,38940818,51429941,49938933
12320889;1095;929;151;10327808,9203809,7455042,8885892,8764873,10646092,8387394,8550446,10165583,7519086,10513430,10179896,10282095,6324318
29393019;730;1040;48;32244323,28633156,5626409,26742988,13925486,28654353,24144755,28309588,29878327,30006136,29373209,28300351,35238684,29902879
39977093;365;872;49;27996420,45987246,43547316,31064501,31905015,36466840,25716441
21659786;1095;45;35;20201504,17583696,20060540,17949013
21790858;1095;81;57;15011200,21308194,20198183,20087049,21279605,17113657,25143387,13115029
32702604;730;6187;171;34079008,36288897,3051619,27996420,20605605,28381322,33157036,10119928,29645358,32709869,21436497,29333262,13371894,11579608,7515133,33500254
41320588;365;787;51;40068355,39021839,38771860,48169237,30055830,31337116,11234846,30094883,28928809,46284331,27257008,40867764,2485949,40743501,18324846,32248207,45623405,24802542,13985707,35447926,29320569,47711354,44439678,47747349
29065362;730;2396;136;28944450,23180387,26673832,33244554,19830109,30018704,9335640,24895196,29434730
11894931;1095;342;81;6324307,7906475,4762534,7652839,21994,4970891,8252909,2598382,7725904,8279115,580115,1371662,9132578,339130,1563544,8733689,8072026,7742972,4405034,4711371
30408856;730;255;10;29949281,32136226,32485319,32127431,32428655,14759444,29227351,32428664
31916186;730;22619;1045;33423553,34998459,33870603,35003241,30946954,35579799,35492172,363321,33082896,26828113,16947267,34177110,35492179,35100825,10083107,29336123,27416874,35579806,29194463
27743599;730;2026;38;27659136,28210600,28036264,29516436,28334294,27863737
26673310;730;128;13;25516544,20266176,17439748,1261573,25336998,20841002,23214507,13795826,17652214,19100728,16311044,25945372,24538334
15270046;1095;1689;109;11911425,11788743,11651367,12672427,11204396,11073678,12128445,12944657,10291449,14418745,13268157
16061809;1095;893;220;14093922,14217475,12378909,14423881,13799114,11466124,8579010,9265517,13860500,12870195,13025300,11633141,10734230,13157271,14430425,10534170,9690351,13725506,14371786,13806495
57742705;330;1492;124;62942920,63505628,48104106,59545005,61071600,57726355,58686911,62449308,62355135
22642859;730;252;11;21027841,14097729,23706984,13538249,8093227,19010094,21383375,21765074,16590889
32380274;730;136922;496;33604289,16281954,35586243,24488773,34779773,238959,33182640,7887281,28433330,22872275,16287412,14425781,11416342,9224605,8095781,3727829
22806703;730;6642;734;18405248,12178017,20466850,13596022,16804865,9478984,45034856,17358030,19515407,14408824,19055826,17449780,26047702,20807864,17939194,16835197
30081203;730;2987;131;32304896,3483060,24760899,27463684,38002791,23650825,5341610,27710359,4640940,24760804,9593618,8372179,4860612,329557,8709719,32190393,30507258,30257162,18298047
18219188;1095;168;34;9654084,16063749,15584519,1118955,16141452,9860335,14074416,16724209,15073780,14530713,17091710,16903839
41746613;365;673;37;60283264,46870114,48104165,23465256,47181579,42704756,40443094,48246580,48446489
42795189;365;45;2;30968464,42289105,30350036,49214292,47153269
29229239;730;2167;161;31012896,22997072,25333515,30028391,27976937,31064650,32158067,25909452,30003728,28156114,26744627,29963606,26816279,31064444,24245790
